"record_count","total_passengers","unique_carrier_name","unique_carrier_code"
2924,1021378,"Martinair Holland N.V.","MP"
2786,464763,"Pacific Wings Airlines","LW"
2688,17919,"National Air Cargo Group, Inc. d/b/a Murray Air","MRQ"
2635,4129819,"Island Air Hawaii","WP"
2610,8259672,"Compagnia Aerea Italiana","AZ"
2564,0,"Centurion Cargo Inc.","WE"
2534,0,"Tradewinds Airlines","WI"
2478,570566,"Big Sky Airlines Inc.","GQ"
2427,67932,"Air Excursions LLC","X4"
2369,7984876,"Iberia Air Lines Of Spain","IB"
2229,116874,"Smokey Bay Air Inc.","2E"
2203,0,"Evergreen International Inc.","EZ"
2197,7170552,"Compania Panamena (Copa)","CM"
2067,7708076,"Philippine Airlines Inc.","PR"
2055,156214,"Homer Air","HB"
2051,8351,"Chartright Air Inc.","13Q"
2030,1497809,"Omni Air Express","X9"
1979,0,"Express.Net Airlines","TCQ"
1969,1788307,"Aerolitoral","5D"
1966,8648113,"Swiss International Airlines","LX"
1927,64667,"L.A.B. Flying Service Inc.","JF"
1919,3065185,"Lacsa","LR"
1870,11383492,"Jalways Co. Ltd.","JO"
1859,866434,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","K8"
1825,4595774,"Air China","CA"
1813,3958717,"Bahamasair Holding Limited","UP"
1788,7086918,"Scandinavian Airlines Sys.","SK"
1778,4114845,"Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)","Y4"
1758,17359,"Cape Smythe Air Service","6C"
1739,0,"ABSA-Aerolinhas Brasileiras","M3"
1691,6106051,"El Al Israel Airlines Ltd.","LY"
1672,5310107,"Independence Air","DH"
1665,0,"Volga-Dnepr Airlines","VIQ"
1588,964226,"Saudi Arabian Airlines Corp","SV"
1576,0,"Asia Pacific","PFQ"
1560,7693456,"All Nippon Airways Co.","NH"
1526,0,"Gemini Air Cargo Airways","GR"
1498,8016623,"Air New Zealand","NZ"
1489,5291270,"Caribbean Airlines Limited","BW"
1473,0,"Nippon Cargo Airlines","KZ"
1466,5665,"40-Mile Air","Q5"
1451,9672925,"Aer Lingus Plc","EI"
1431,353181,"Island Airlines LLC","1DQ"
1419,8292,"London Air Services Limited","14Q"
1416,3825287,"Icelandair","FI"
1408,19571,"Mountain Bird/Salmon Air","S6 (1)"
1368,0,"Cielos De Peru","A2"
1346,147892,"Charter Air Transport, Inc.","1AQ"
1323,304219,"Boston-Maine Airways","E9"
1311,3560905,"Polskie Linie Lotnicze","LO"
1285,42198,"Promech","Z3 (1)"
1215,0,"China Cargo Airline","CK"
1207,7536385,"Transportes Aeros Meridiona","JJ"
1203,0,"Transportes Aereos Mercantiles Panamericanos S.A","QT"
1168,1063225,"Canjet Airlines","C6"
1142,1560530,"Seaborne Aviation","SEB"
1114,687504,"Freedom Air","FRA"
1085,1326486,"Britannia Airways Ltd.","BY"
1057,86245,"West Isle Air","WST"
1052,7558969,"Emirates","EK"
1038,1753705,"Cayman Airways Limited","KX"
1017,979062,"TransMeridian Airlines","T9"
1011,0,"Bemidji Airlines","CH"
974,0,"Lan Colombia","L7"
969,0,"DHL Aero Expresso","DHQ"
959,553146,"Air Atlanta Icelandic","CC"
919,0,"Aerotransportes Mas De Crga","M7"
904,5492844,"National Aviation Company of India Limited d/b/a Air India","AI"
883,2873497,"Lynx Aviation d/b/a Frontier Airlines","L3"
881,81194,"Vintage Props & Jets Inc.","VQ"
850,8337,"Cargojet Airways Ltd.","W8"
848,3927008,"Turk Hava Yollari A.O.","TK"
829,0,"Avia Leasing Company","AD"
828,447017,"Vieques Air Link Inc.","VI"
824,2400687,"Lan Ecuador","XL"
823,3252,"G5 Executive Ag","GBQ"
822,1372100,"Condor Flugdienst","DE"
809,35885,"Skagway Air Service","N5"
807,0,"Aerounion Aerotransporte de Carga Union SA de CV","6R"
803,929735,"Air Transat","TS"
802,87296,"Katmai Air","KAT"
795,592174,"Mokulele Flight Services, Inc.","0KQ"
759,469548,"Privatair","PBQ"
753,1454052,"Air Pacific Ltd.","FJ"
753,2461013,"Aeroflot Russian Airlines","SU"
685,1887539,"Alia-(The) Royal Jordanian","RJ"
639,1663522,"Tap-Portuguese Airlines","TP"
629,320759,"Regions Air, Inc.","3C"
613,986,"Ward Air","WRD"
604,2554,"Ellis Air Taxi Inc.","ELL"
599,699170,"Sunwing Airlines Inc.","WG"
597,1167214,"Thomas Cook Airlines Uk Ltd.","MT"
597,2409780,"Air Berlin PLC and CO","AB"
596,456373,"Sky Service F.B.O.","SEQ"
588,2759766,"Lan Peru Airlines","LP"
576,0,"Global Supply System","GSQ"
567,2856458,"China Eastern Airlines","MU"
565,0,"Polyot Airlines","POQ"
562,696894,"Monarch Airlines","ZB"
543,2482194,"Porter Airlines, Inc.","PD"
540,1414962,"Luftransport-Unternehmen","LT"
532,2961866,"Qatar Airways (Q.C.S.C)","QR"
530,1209148,"Aerolineas Argentinas","AR"
521,3393504,"Air Tahiti Nui","TN"
516,2798282,"Austrian Airlines","OS"
499,1085709,"Kuwait Airways Corp.","KU"
496,11988,"DCA","0BQ"
474,107673,"Multi-Aero, Inc. d/b/a Air Choice One","0MQ"
468,667912,"Varig S. A.","RG"
468,427388,"First Choice Airways","TZQ"
466,1436,"TAG Aviation Espana S.L.","0RQ"
460,645181,"Sata Internacional","S4"
458,2762111,"South African Airways","SA"
458,900889,"Aviacsa Airlines","6A"
451,1117739,"China Southern Airlines","CZ"
442,917432,"Pakistan International Airlines","PK"
419,166888,"New England Airlines Inc.","NEW"
417,415962,"Polynesian Airlines Ltd.","PH"
416,607,"Baker Aviation Inc.","8Q"
415,1892980,"Etihad Airways","EY"
411,1570,"Global Jet Luxembourg, Sa","SVW"
411,1991,"Propair","PPQ"
407,1034,"ACM AIR CHARTER GmbH","0CQ"
401,0,"Antonov Company","ADB"
369,948526,"LAN Argentina","4M"
366,721902,"Mytravel Airways","RNQ"
366,4446,"NetJets Large Aircraft Company L.L.C.","BNQ"
359,305421,"Primaris Airlines Inc.","FE"
357,0,"AeroLogic GmbH","3S"
350,414081,"Harmony Airways","HQ"
344,0,"Omega Air Holdings d/b/a Focus Air","F2"
343,343735,"Aero California","JR"
341,1030,"CAT Aviation","CAZ"
341,28825,"US Helicopter Corporation","UH"
333,1556,"Abaco Air, Ltd.","BZQ"
332,1207837,"Malaysian Airline System","MH"
329,1204776,"Thai Airways International Ltd.","TG"
322,394681,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","VB"
318,1238,"VistaJet Luftfahrtunternehmen GmbH","VSA"
317,0,"Custom Air Transport","CTQ"
314,319729,"Aeromexico Travel","TRA"
313,1723288,"Virgin Blue International Airlines t/a V Australia","VA"
308,2698,"Harris Air Services","HBQ"
305,932186,"Skybus Airlines, Inc.","SX"
300,19768,"Air North","4N"
292,667438,"Insel Air International B V","7I"
290,0,"C.A.L Cargo Airlines","5C"
289,16814,"Mn Aviation, Inc.","W4"
283,331466,"Aerosur","5L"
279,241,"SkyLink Express Inc.","PEQ"
270,864,"TAG Aviation (UK) Ltd.","0QQ"
268,181,"Nolinor Aviation","NLQ"
261,1397596,"Finnair Oy","AY"
260,801919,"ABC Aerolineas SA de CV dba Interjet","4O"
258,1761,"Comlux Malta, Ltd.","0UQ"
256,809399,"Globespan Airways Limited d/b/a Flyglobespan","Y2"
254,0,"Varig Logistica S/A","LC"
240,101021,"Dynamic Airways, LLC","1BQ"
238,546624,"Elysair d/b/a L'Avion","A0"
237,406338,"Eurofly S.p.A","GJ"
232,0,"Prescott Support Company, Inc.","PM"
222,1173206,"Jet Airways (India) Limited","9W"
218,1061,"Comlux Aviation, AG","05Q"
217,0,"Estafeta Carga Aereas","E7"
215,220664,"Transportes Aereos De Cabo","VR"
214,17409,"Air Sunshine Inc.","AAT"
213,567840,"Aeropostal Alas De Venezuel","VH"
211,126375,"Lloyd Aereo Boliviano S. A.","LB"
210,968498,"Ethiopian Airlines","ET"
209,0,"Vensecar International","V4"
208,189236,"Uzbekistan Airways","HY"
208,1445271,"Egyptair","MS"
207,1065411,"Royal Air Maroc","AT"
206,745028,"British Midland Airways Ltd.","BD"
