"record_count","total_passengers","unique_carrier_name","unique_carrier_code"
7517,5186618,"Lineas Aereas Allegro","LGQ"
7471,259540,"Promech","Z3 (1)"
7420,95572,"Tradewind Aviation","04Q"
7405,0,"Kalitta Air LLC","KAQ"
7223,1888803,"Vision Airlines","0JQ"
7114,25455,"Avjet Corporation","0WQ"
7043,239177,"Swift Air, LLC","09Q"
7020,6842721,"Markair Inc.","BF"
6798,1514110,"World Airways Inc.","WO"
6735,0,"Cargolux Airlines International S.A","CV"
6565,0,"Lynden Air Cargo Airlines","L2"
6562,0,"Express.Net Airlines","TCQ"
6537,21181406,"Cathay Pacific Airways Ltd.","CX"
6498,22198804,"Air New Zealand","NZ"
6408,30156185,"Reno Air Inc.","QQ"
6407,4772204,"TransMeridian Airlines","T9"
6310,0,"Village Aviation","VLA"
6187,8784269,"Lacsa","LR"
5921,0,"Emery Worldwide Airlines","TNQ"
5617,3700184,"Alia-(The) Royal Jordanian","RJ"
5550,11087467,"Caribbean Airlines Limited","BW"
5534,4404511,"Skyway Airlines","AL"
5485,2625617,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines","YR"
5448,7717571,"Canada 3000 Airlines Ltd.","2T"
5372,13908783,"Swissair Transport Co. Ltd.","SR"
5337,2593155,"Transp. Aereos Ejecutivos","GD"
5297,14886716,"Midway Airlines Inc.","JI (1)"
5272,6419928,"Air Transat","TS"
4900,0,"Gemini Air Cargo Airways","GR"
4823,146092,"Spernak Airways Inc.","SNK"
4777,260908,"Sierra Pacific Airlines","SI"
4734,26651913,"Virgin America","VX"
4650,0,"Transportes Aereos Mercantiles Panamericanos S.A","QT"
4624,0,"Nippon Cargo Airlines","KZ"
4620,0,"Southern Air Inc.","9S"
4517,1032559,"Express One International Inc.","JKQ"
4514,0,"Kalitta Charters II","KLQ"
4470,127853,"Pacific Airways, Inc.","3F"
4390,86390,"Alaska Seaplane Service","J5"
4353,4420606,"Omni Air Express","X9"
4336,17279082,"Philippine Airlines Inc.","PR"
4259,5639154,"Aeroflot Russian Airlines","SU"
4201,17434406,"Scandinavian Airlines Sys.","SK"
4197,11262072,"Midway Airlines Inc. (1)","ML (1)"
4169,1069679,"Big Sky Airlines Inc.","GQ"
4162,20937748,"Aer Lingus Plc","EI"
4119,11018758,"Tower Air Inc.","FF"
4097,6884150,"Air China","CA"
4013,7763793,"Polskie Linie Lotnicze","LO"
3994,696087,"Reeve Aleutian Airways Inc.","RV"
3892,610833,"Planet Airways","PLQ"
3724,10061015,"Compania Panamena (Copa)","CM"
3709,119228,"L.A.B. Flying Service Inc.","JF"
3666,19534657,"All Nippon Airways Co.","NH"
3641,4759505,"Monarch Airlines","ZB"
3592,1173470,"Air Georgian","ZX"
3494,561339,"Pacific Wings Airlines","LW"
3488,4943354,"Britannia Airways Ltd.","BY"
3459,96097,"Tradewinds Airlines","WI"
3452,2328674,"Saudi Arabian Airlines Corp","SV"
3432,17938813,"Jalways Co. Ltd.","JO"
3419,4069027,"Aero California","JR"
3269,8418954,"Icelandair","FI"
3177,21368,"Ward Air","WRD"
3107,3566258,"Condor Flugdienst","DE"
3069,4902606,"Island Air Hawaii","WP"
3006,5870,"Baker Aviation Inc.","8Q"
2942,7647136,"Bahamasair Holding Limited","UP"
2924,4566679,"Luftransport-Unternehmen","LT"
2919,11045846,"Vanguard Airlines Inc.","NJ"
2852,0,"Custom Air Transport","CTQ"
2820,3421760,"Allegheny Airlines","HRZ"
2792,4027189,"Lb Limited","7Z"
2785,0,"Fine Airlines Inc.","FNQ"
2784,177661,"Smokey Bay Air Inc.","2E"
2699,5018364,"Cayman Airways Limited","KX"
2688,17919,"National Air Cargo Group, Inc. d/b/a Murray Air","MRQ"
2660,4467756,"Mytravel Airways","RNQ"
2659,5444695,"Aerolineas Argentinas","AR"
2642,11186702,"Swiss International Airlines","LX"
2620,14023470,"Valujet Airlines Inc.","J7"
2550,0,"Asia Pacific","PFQ"
2503,1760910,"",""
2427,67932,"Air Excursions LLC","X4"
2416,0,"ABSA-Aerolinhas Brasileiras","M3"
2352,0,"Volga-Dnepr Airlines","VIQ"
2339,5460134,"Sabena Belgian World Air.","SN (1)"
2315,79213,"Skagway Air Service","N5"
2313,362764,"Boston-Maine Airways","E9"
2289,7496,"40-Mile Air","Q5"
2282,3137567,"Pakistan International Airlines","PK"
2267,1884548,"Aerolitoral","5D"
2179,1478841,"Royal Air","QN"
2156,1226504,"Rich International Airways","RIQ"
2138,1725717,"Lloyd Aereo Boliviano S. A.","LB"
2132,4024358,"Tap-Portuguese Airlines","TP"
2115,1081149,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","K8"
2106,1042770,"Key Airlines Inc.","ZN"
2093,0,"Olson Air Service","4B"
2065,2645752,"First Choice Airways","TZQ"
2055,156214,"Homer Air","HB"
2051,8351,"Chartright Air Inc.","13Q"
2049,1270056,"Pan American Airways Corp.","PN"
2048,0,"Southern Air Transport Inc.","SAQ"
2036,2133896,"Dutch Caribbean Airlines","K8 (1)"
2025,28658,"Mountain Bird/Salmon Air","S6 (1)"
1996,0,"Aerotransportes Mas De Crga","M7"
1947,128544,"Vintage Props & Jets Inc.","VQ"
1921,0,"Trans-Air-Link Corporation","TKQ"
1908,1201693,"Private Jet Expeditions","5J"
1905,0,"Cielos De Peru","A2"
1878,2509434,"Kuwait Airways Corp.","KU"
1860,0,"DHL Aero Expresso","DHQ"
1814,6381685,"Kiwi International","KP"
1803,2253026,"Viacao Aerea Sao Paulo","VP"
1778,4114845,"Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)","Y4"
1734,4293597,"Malaysian Airline System","MH"
1728,1098612,"Aeroejecutivo S.A.","SX (1)"
1708,4273944,"China Eastern Airlines","MU"
1672,9903755,"National Aviation Company of India Limited d/b/a Air India","AI"
1669,6071354,"Turk Hava Yollari A.O.","TK"
1664,3000812,"Thomas Cook Airlines Uk Ltd.","MT"
1610,430096,"Sunworld International Airlines","SM"
1604,683395,"Ladeco","UC"
1559,0,"Bellair Inc. (1)","7G (1)"
1525,6020961,"South African Airways","SA"
1503,4206641,"UFS Inc.","U2"
1502,1170453,"Sky Service F.B.O.","SEQ"
1448,1764217,"Air Aruba","FQ"
1444,968366,"Aeronautica De Cancun","ACQ"
1438,1181376,"Air Atlanta Icelandic","CC"
1431,353181,"Island Airlines LLC","1DQ"
1419,8292,"London Air Services Limited","14Q"
1393,0,"China Cargo Airline","CK"
1389,8508824,"Transportes Aeros Meridiona","JJ"
1384,0,"Bemidji Airlines","CH"
1346,147892,"Charter Air Transport, Inc.","1AQ"
1325,145666,"West Isle Air","WST"
1323,675952,"Regions Air, Inc.","3C"
1322,2518923,"Air Pacific Ltd.","FJ"
1314,145804,"Bradley Air Services Ltd.","BCQ"
1288,1126607,"Canjet Airlines","C6"
1285,6171137,"Austrian Airlines","OS"
1277,0,"Aeromexpress","QO"
1273,2242987,"Transbrasil S.A.","TR"
1270,1312671,"Southeast Airlines","JX"
1249,0,"Avia Leasing Company","AD"
1246,6827516,"Morris Air Corporation","KN"
1246,3008538,"Egyptair","MS"
1225,786513,"Freedom Air","FRA"
1200,1737892,"Seaborne Aviation","SEB"
1197,2785262,"Royal Air Maroc","AT"
1194,4502654,"Western Pacific Airlines","W7"
1168,3879288,"Chicago Express Airlines","C8 (1)"
1167,0,"Millon Air Inc.","LBQ"
1152,4340873,"Finnair Oy","AY"
1145,1189489,"Aviateca","GU"
1121,3850268,"Thai Airways International Ltd.","TG"
1103,113542,"Katmai Air","KAT"
1096,1142422,"Eastwind Airlines Inc.","W9"
1066,7625938,"Emirates","EK"
1058,3087007,"Air South Inc. (1)","WV (1)"
1043,689170,"Tarom Romanian Air Transpor","RO"
1032,2084516,"Aviacsa Airlines","6A"
1025,0,"Antonov Company","ADB"
1024,0,"Lineas Aereas Del Caribe","LC (1)"
1019,2428774,"Aeropostal Alas De Venezuel","VH"
1008,564895,"Privatair","PBQ"
1000,1297812,"Compania Dominicana De Avia","DO"
998,1404653,"Corse Air International","CYQ"
996,2725226,"Lan Ecuador","XL"
988,507705,"Vieques Air Link Inc.","VI"
975,0,"Heavylift Cargo Airlines Lt","HLQ"
974,0,"Lan Colombia","L7"
974,1229051,"Venezuelan International Airways","VA (1)"
962,3446752,"Olympic Airways","OA"
955,3791,"G5 Executive Ag","GBQ"
936,391285,"Servicio Aereo De Honduras","SH"
917,11181,"Cargojet Airways Ltd.","W8"
916,15666476,"USAir Shuttle","TB (1)"
913,0,"Zantop International","ZKQ"
912,320384,"Sun Pacific International","SPQ"
906,2285838,"Servicios Avensa","VC"
888,829439,"Polynesian Airlines Ltd.","PH"
883,2873497,"Lynx Aviation d/b/a Frontier Airlines","L3"
872,302879,"Time Air Ltd.","KI"
868,1684436,"China Southern Airlines","CZ"
861,407613,"Sky Trek International Airlines","1I"
853,1173456,"Aerovias Venezolanas-Avensa","VE"
832,0,"Flagship Express Services","9R"
822,517529,"Worldwide Airlines Services","WA"
822,844007,"Ecuatoriana De Aviacion","EU"
