"record_count","total_passengers","unique_carrier_name","unique_carrier_code"
46,21508,"Zambia Airways Corp.","Q2"
43,44574,"Lapa-Lineas Aereas Privadas","MJ"
40,0,"Venexcargo","TDQ"
39,41917,"Novair International Airways Ltd.","NVQ"
38,21085,"Jes Air Ltd.","JX (1)"
38,161,"Ocean Sky (UK) Limited","0VQ"
38,12369,"Antigua Paradise Airways","PDQ"
37,24154,"TUIfly Nordic A.B.","6B"
36,0,"Caraven S.A.","CVQ"
36,2997,"Air Tungaru Corporation","VK"
35,10726,"Jet Fleet Intl. Airlines","JIQ"
34,0,"Tranps Aereos Guatemaltecos","TGQ"
34,0,"Anglo Airlines Ltd.","AZQ"
34,97,"Hapag-Lloyd Executive GmbH","EXC"
34,24719,"Open Skies","0OQ"
33,121,"Jet Connection Businessflight Ag","JCQ"
33,119,"International Jet Management GmbH","1HQ"
32,190966,"Brussels Airlines N.V.","SN"
32,74,"Swiss Air Ambulance","10Q"
32,4149,"Great American Airways","FDQ"
31,0,"ANA & JP Express Co. Ltd.","9N"
31,0,"Brasair Transportes Aereos","BTQ"
30,73964,"Avior Airlines, C.A.","9V"
29,7083,"Vladivostok Air","XF"
28,49237,"Norwegian Air Shuttle ASA","DY"
28,5236,"Quassar De Mexico","OMQ"
28,68672,"Flyjet Limited d/b/a Silverjet","Y7"
26,2308,"Air Greco, Inc., d/b/a Wings Air","WV"
26,107486,"Discovery Airways Inc.","DH (1)"
26,206,"Valley Air Express Inc.","2U"
25,0,"General Air Cargo","GCQ"
25,10258,"J.D.Valenciana De Aviation","V5"
25,353,"Aero-Services-Corporate","WEQ"
25,88,"Flying Service N.V.","0Q"
24,14216,"Krasair","7B"
24,5892,"Britannia Airways GmbH","BN"
24,10585,"Sobelair","Q7"
24,0,"Cargolux Italia SpA","C8"
24,2282,"Emerald Airlines Inc.","OD"
24,29208,"Lan Dominica","4M (1)"
23,0,"Mexicargo","GJ (1)"
22,16757,"Trans Europ. Airways France","EFQ"
22,2185,"Polar Airlines de Mexico d/b/a Nova Air","0HQ"
22,0,"Aero Uruguay","URQ"
19,42,"Bertelsmann Aviation GmbH","1LQ"
18,30512,"USAfrica Airways Inc.","E8"
18,8045,"City Wings Inc dba Seaflight","1QQ"
17,0,"Advance Air Charters","AAQ"
17,31899,"Luxair","LG"
17,0,"Transp. Aereos Bolivianos","BOQ"
17,0,"TPI International Airways","TSQ"
17,0,"Air Charter Systems (Acs)","WAQ"
16,7689,"Ozark Air Lines Inc.","OZA"
15,0,"Universal Airlines Inc.","UTQ"
14,3157,"World Air Network","WL"
14,1900,"Air Company Yakutia","R3"
14,9612,"Skyjet S.A.","SBQ"
14,50,"Corporatejets, XXI","0TQ"
14,0,"Airbus Transport Internat'l","BGQ"
13,84,"Jet link AG","1IQ"
13,3138,"Hispaniola Airways","ZS"
12,0,"Jetall Airways","8J"
12,0,"North East Cargo Airlines","NEQ"
12,793,"Travel Service, a.s.","QS"
12,22033,"Air Liberte","LRQ"
11,0,"Rhoades Aviation dba Transair","1TQ"
8,0,"Latcr","LCQ"
8,10139,"Queen Air","5G (1)"
7,0,"Zas Airline Of Egypt","ZAQ"
7,37358,"Jeju Air Co Ltd.","7C"
6,4761,"Belize Trans Air","4H"
6,15093,"Sol Air (Aero Hunduras)","4S"
6,0,"Aerosur (1)","ASQ"
6,14,"Air-Serve","RSV"
6,6539,"Swiss World Airways","SO"
5,1663,"Novair Airlines Ab","NOQ"
5,3949,"Time Air Sweden Ab","HK"
4,3821,"Air Malta","KM"
4,968,"Servicio Aereo Leo Lopez","8L"
2,0,"JSC The 224th Flight Unit State Airlines","1NQ"
2,0,"Star Air A/S","S6"
2,1028,"Skymark Airlines Inc.","BC"
2,0,"Primeras Lineas Uruguays For International","PU"
2,0,"Lufthansa Cargo Airlines","GE"
1,0,"Affretair","ZL"
