"description","record_count","total_passengers","origin_airport_dot_id","origin_airport_iata","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_WAC","airport_type","latitude","longitude","iso_country","municipality","iso_region","gps_code","local_code","continent","elevation_feet"
"Cape Newenham, AK: Cape Newenham LRRS",471,1062,11512,"EHM","Cape Newenham, AK","AK",1,"medium_airport",58.6464004517,-162.06300354,"US","Cape Newenham","US-AK","PAEH","EHM","NA",541
"David, Panama: Enrique Malek International",3,1049,11265,"DAV","David, Panama","",162,"medium_airport",8.39099979400635,-82.4349975585938,"PA","David","PA-4","MPDA","","NA",89
"Dahl Creek, AK: Dahl Creek Airport",286,1033,11280,"DCK","Dahl Creek, AK","AK",1,"small_airport",66.9432983398,-156.904998779,"US","Dahl Creek","US-AK","DCK","DCK","NA",260
"Tatalina, AK: Tatalina LRRS",548,1028,15250,"TLJ","Tatalina, AK","AK",1,"medium_airport",62.8944015503,-155.977005005,"US","Takotna","US-AK","PATL","TLJ","NA",964
"Cape Romanzof, AK: Cape Romanzof LRRS",519,1024,11241,"CZF","Cape Romanzof, AK","AK",1,"medium_airport",61.78030014,-166.0390015,"US","Cape Romanzof","US-AK","PACZ","CZF","NA",464
"Port Alsworth, AK: Port Alsworth Airport",715,1022,14268,"PTA","Port Alsworth, AK","AK",1,"small_airport",60.2042999268,-154.319000244,"US","Port Alsworth","US-AK","PALJ","TPO","NA",280
"Abilene, TX: Dyess AFB",17,1019,11459,"DYS","Abilene, TX","TX",74,"large_airport",32.4207992554,-99.854598999,"US","Abilene","US-TX","KDYS","DYS","NA",1789
"Sondre Stromfjord, Greenland: Sondrestrom Air Base",17,986,14767,"SFJ","Sondre Stromfjord, Greenland","",975,"medium_airport",67.0122218992,-50.7116031647,"GL","Kangerlussuaq","GL-U-A","BGSF","","NA",165
"Manley Hot Springs, AK: Manley Hot Springs Airport",498,983,13381,"MLY","Manley Hot Springs, AK","AK",1,"small_airport",64.9975967407,-150.643997192,"US","Manley Hot Springs","US-AK","PAML","MLY","NA",270
"Yes Bay, AK: Yes Bay Lodge Seaplane Base",145,977,15894,"WYB","Yes Bay, AK","AK",1,"seaplane_base",55.9163017273,-131.800994873,"US","Yes Bay","US-AK","78K","78K","NA",""
